hood_id,crime,year,rate
171,theftfrommv,2018,611.0467529
171,theftfrommv,2019,492.3392029
171,theftfrommv,2020,544.4788208
171,theftfrommv,2021,203.5145416
171,theftfrommv,2022,232.4695122
171,theftfrommv,2023,217.2256165
171,theftover,2014,21.28837204
171,theftover,2015,20.97579384
171,theftover,2016,24.75349617
171,theftover,2017,24.40413284
171,theftover,2018,27.95638847
171,theftover,2019,15.7548542
171,theftover,2020,35.25402451
171,theftover,2021,31.30992889
171,theftover,2022,31.03541946
171,theftover,2023,34.29878235
170,assault,2014,3817.829346
170,assault,2015,4789.324707
170,assault,2016,4208.070313
170,assault,2017,4995.443848
170,assault,2018,4575.786621
170,assault,2019,5048.573242
170,assault,2020,2842.933594
170,assault,2021,2343.636719
170,assault,2022,3116.864746
170,assault,2023,3686.104248
170,autotheft,2014,116.279068
170,autotheft,2015,182.798645
170,autotheft,2016,172.81604
170,autotheft,2017,115.9804459
170,autotheft,2018,214.4899902
170,autotheft,2019,290.6754456
170,autotheft,2020,103.9192429
170,autotheft,2021,123.3492966
170,autotheft,2022,204.038559
170,autotheft,2023,312.2666626
170,biketheft,2014,2160.852783
170,biketheft,2015,1425.829468
170,biketheft,2016,1745.442017
170,biketheft,2017,1781.128296
170,biketheft,2018,2121.067627
170,biketheft,2019,1675.208496
170,biketheft,2020,1284.144897
170,biketheft,2021,1226.237061
170,biketheft,2022,1561.333243
170,biketheft,2023,1547.75647
170,breakenter,2014,668.6046753
170,breakenter,2015,1051.092163
170,breakenter,2016,527.0889282
170,breakenter,2017,1035.539673
170,breakenter,2018,794.4073486
170,breakenter,2019,910.2730713
170,breakenter,2020,1105.997681
170,breakenter,2021,812.6541748
170,breakenter,2022,865.4049072
170,breakenter,2023,733.1477661
170,homicide,2014,9.689922333
170,homicide,2015,18.27986526
170,homicide,2016,0
170,homicide,2017,0
170,homicide,2018,7.9440736770000004
170,homicide,2019,15.29870701
170,homicide,2020,0
170,homicide,2021,7.255840778
170,homicide,2022,7.035812378
170,homicide,2023,6.788405418
170,robbery,2014,707.3643188
170,robbery,2015,475.2764893
170,robbery,2016,639.4193115
170,robbery,2017,729.0199585
170,robbery,2018,699.0784912
170,robbery,2019,481.9092712
170,robbery,2020,408.2541504
170,robbery,2021,370.0478821
170,robbery,2022,386.9696655
170,robbery,2023,420.881134
170,shooting,2014,9.689922333
170,shooting,2015,27.4197979
170,shooting,2016,0
170,shooting,2017,24.85295296
170,shooting,2018,31.77629471
170,shooting,2019,30.59741402
170,shooting,2020,14.84560585
170,shooting,2021,0
170,shooting,2022,7.035812378
170,shooting,2023,13.57681084
170,theftfrommv,2014,1172.480591
170,theftfrommv,2015,941.4130249
170,theftfrommv,2016,682.6233521
170,theftfrommv,2017,737.3042603
170,theftfrommv,2018,897.6803589
170,theftfrommv,2019,1308.039429
170,theftfrommv,2020,1002.078369
170,theftfrommv,2021,464.3738098
170,theftfrommv,2022,726.3593782
170,theftfrommv,2023,515.9188232
170,theftover,2014,358.5271301
170,theftover,2015,274.1979675
170,theftover,2016,233.301651
170,theftover,2017,289.9511108
170,theftover,2018,349.5392456
170,theftover,2019,481.9092712
170,theftover,2020,259.7980957
170,theftover,2021,188.6518707
170,theftover,2022,358.826416
170,theftover,2023,346.2086792
169,assault,2014,742.6449585
169,assault,2015,685.0722656
169,assault,2016,807.8817749
169,assault,2017,971.9767456
169,assault,2018,818.2313843
169,assault,2019,958.671875
169,assault,2020,573.7006836
169,assault,2021,817.256897
169,assault,2022,647.5985107
169,assault,2023,745.2112427
169,autotheft,2014,42.84490204
169,autotheft,2015,27.40289116
169,autotheft,2016,39.40886688
169,autotheft,2017,44.18076324
169,autotheft,2018,90.91460419
169,autotheft,2019,75.99228668
169,autotheft,2020,51.12184143
169,autotheft,2021,122.3105545
169,autotheft,2022,75.55315399
169,autotheft,2023,89.21543121
